IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.160.118.77,80,80,false,LAX,North America,US,Los Angeles,202,22.77
154.17.224.10,57496,443,true,LAX,North America,US,Los Angeles,140,17.45
154.26.185.39,443,443,true,LAX,North America,US,Los Angeles,147,15.80
154.17.227.138,587,443,true,LAX,North America,US,Los Angeles,141,15.79
154.21.93.92,37955,443,true,LAX,North America,US,Los Angeles,151,15.15
154.26.186.25,587,443,true,LAX,North America,US,Los Angeles,150,15.11
154.26.181.60,443,443,true,LAX,North America,US,Los Angeles,154,15.08
154.26.181.45,18207,443,true,LAX,North America,US,Los Angeles,153,14.17
154.17.224.71,51447,443,true,LAX,North America,US,Los Angeles,142,13.98
154.17.7.113,50002,8080,false,LAX,North America,US,Los Angeles,150,13.94
34.111.103.7,80,80,false,LHR,Europe,GB,London,255,13.86
154.21.89.73,27629,443,true,LAX,North America,US,Los Angeles,160,13.57
154.17.237.56,26749,443,true,LAX,North America,US,Los Angeles,141,13.29
154.17.237.74,12090,443,true,LAX,North America,US,Los Angeles,141,12.71
154.26.181.45,51953,443,true,LAX,North America,US,Los Angeles,151,12.70
23.165.248.41,43327,443,true,LAX,North America,US,Los Angeles,141,12.68
166.0.188.128,57183,443,true,LAX,North America,US,Los Angeles,140,12.44
91.149.239.72,443,443,true,LAX,North America,US,Los Angeles,178,12.33
154.17.7.113,9018,8080,false,LAX,North America,US,Los Angeles,155,12.30
154.17.5.18,49701,443,true,LAX,North America,US,Los Angeles,152,12.21
91.149.239.252,443,443,true,LAX,North America,US,Los Angeles,178,12.19
38.60.89.176,47827,443,true,LAX,North America,US,Los Angeles,147,11.98
154.26.179.50,14713,443,true,LAX,North America,US,Los Angeles,149,11.95
154.26.180.54,587,443,true,LAX,North America,US,Los Angeles,146,11.52
154.26.183.30,6667,443,true,LAX,North America,US,Los Angeles,152,11.13
154.9.242.148,48086,443,true,LAX,North America,US,Los Angeles,142,11.06
154.17.7.113,9016,8080,false,LAX,North America,US,Los Angeles,153,10.91
